Story,Labels,Story Type,Current State,Created at,Accepted At,Description,Estimate
add Facebook permalinks to each mention in Profiles,"redmine,redmineID-611,redmine-Viralheat Product - Scrum",feature,unscheduled,04/09/2012 03:12 pm,,"",-1
Change on FAQ Page,"redmine,redmineID-610,redmine-Viralheat Product - Scrum",bug,unscheduled,04/04/2012 04:08 pm,," What is Viralheat? - question does not link to the right answer.  Should link to: http://help.viralheat.com/entries/20740023-what-is-viralheat

Can I track by geographic location? - DELETE",-1
BUG: Facebook wall missing the loading icon in the beginning,"redmine,redmineID-609,redmine-Viralheat Product - Scrum",feature,unscheduled,04/04/2012 02:33 pm,,"",-1
BUG: Linked accounts button disappears,"redmine,redmineID-608,redmine-Viralheat Product - Scrum",feature,unscheduled,04/04/2012 01:08 pm,,"",-1
Linked Accounts Listing in Settings is broken,"redmine,redmineID-607,redmine-Viralheat Product - Scrum",bug,unscheduled,04/02/2012 11:14 am,,"Currently getting a 404 error.




Started GET ""/javascripts/jquery_ujs.js"" for 127.0.0.1 at Mon Apr 02 11:12:24 -0700 2012


Started GET ""/javascripts/jquery.js"" for 127.0.0.1 at Mon Apr 02 11:12:24 -0700 2012

ActionController::RoutingError (No route matches [GET] ""/javascripts/jquery.js""):
  


ActionController::RoutingError (No route matches [GET] ""/javascripts/jquery_ujs.js""):
  
",-1
Fb likes don't add up,"redmine,redmineID-606,redmine-Viralheat Product - Scrum",bug,unscheduled,03/29/2012 03:43 pm,,FB likes at the top of the page don't match the analytics,-1
Toggle circles don't toggle,"redmine,redmineID-605,redmine-Viralheat Product - Scrum",bug,unscheduled,03/29/2012 03:21 pm,,Toggle circles under accounts don't toggle.,-1
Will not let me log off in Chrome,"redmine,redmineID-604,redmine-Viralheat Product - Scrum",bug,unscheduled,03/28/2012 10:02 am,,When in Chrome I cannot log out.  Have to open incognito window.,-1
Will not update Facebook account unless you delete,"redmine,redmineID-603,redmine-Viralheat Product - Scrum",bug,accepted,03/27/2012 06:04 pm,04/02/2012 04:09 pm,Deleted access from Facebook.  Showed invalid credentials on Accounts. Tried to re-add FB account and it will not unless you choose to delete and then re-add.,0
Update button on accounts does not work,"redmine,redmineID-602,redmine-Viralheat Product - Scrum",bug,accepted,03/27/2012 05:57 pm,04/03/2012 10:34 am,Revoked VH access on Twitter then went to re-add account. Clicked update next to Twitter and opened to a blank page. Can reproduce for you if necessary.,0
Cannot engage from Facebook under mentions in profiles,"redmine,redmineID-601,redmine-Viralheat Product - Scrum",bug,unscheduled,03/26/2012 10:52 am,,Cannot like or comment on Facebook posts from the mentions section under profiles.,-1
Cannot make neutral mentions negative or positive,"redmine,redmineID-600,redmine-Viralheat Product - Scrum",bug,unscheduled,03/26/2012 10:45 am,,Can't change a neutral FB or Twitter mention to negative or positive.,-1
Demo account accounts do not match up ,"redmine,redmineID-599,redmine-Viralheat Product - Scrum",bug,unscheduled,03/23/2012 06:32 pm,,On the dashboard under Account Activity it gives an overview of the accounts but the numbers do not match the numbers on the accounts in the Accounts section from the left hand menu.,-1
Email Reporting and Data Downloads video is wrong,"redmine,redmineID-598,redmine-Viralheat Product - Scrum",bug,unscheduled,03/23/2012 05:25 pm,,Profile Wizard is showing up instead of Email Reporting and Data Downloads video in Viralheat University.  Please update.,-1
Remove advanced profile tutorial,"redmine,redmineID-597,redmine-Viralheat Product - Scrum",bug,unscheduled,03/23/2012 05:23 pm,,No more advanced profile so please remove video from Viralheat University.,-1
Human intent demo goes to adding profiles wizard video,"redmine,redmineID-596,redmine-Viralheat Product - Scrum",bug,unscheduled,03/23/2012 05:22 pm,,"",-1
Facebook account ,"redmine,redmineID-595,redmine-Viralheat Product - Scrum",bug,unscheduled,03/23/2012 05:15 pm,,"Facebook account doesn't highlight in the right areas.  When I'm on all, all the analytics options show up.  When I'm on analytics, the analytics section isn't highlighted and when I go between tabs the arrow doesn't update.  ",-1
Mentions are not adding up,"redmine,redmineID-594,redmine-Viralheat Product - Scrum",bug,unscheduled,03/23/2012 04:28 pm,,"Weekly mentions are not showing up properly (not adding up on the graph or in the ""most active accounts"" section.  For ex: Viralheat has had 25 mentions this week, not 1,097.",-1
Billing page looks completely different,"redmine,redmineID-593,redmine-Viralheat Product - Scrum",bug,unscheduled,03/21/2012 05:00 pm,,Page looks different than the other pages.,-1
Wrong pricing button on video page,"redmine,redmineID-592,redmine-Viralheat Product - Scrum",bug,unscheduled,03/21/2012 04:43 pm,,"",-1
Videos won't load,"redmine,redmineID-591,redmine-Viralheat Product - Scrum",bug,unscheduled,03/21/2012 04:42 pm,,Viralheat U video doesn't load. Safari.,-1
"Profiles are always ""processing""","redmine,redmineID-590,redmine-Viralheat Product - Scrum",bug,unscheduled,03/21/2012 04:21 pm,,"Last updated on profile is always ""processing""",-1
"Sentiment has ""xx""","redmine,redmineID-589,redmine-Viralheat Product - Scrum",bug,unscheduled,03/21/2012 04:11 pm,,Sentiment in profiles isn't coming up,-1
No alerts,"redmine,redmineID-588,redmine-Viralheat Product - Scrum",bug,unscheduled,03/21/2012 03:53 pm,,Haven't had any alerts in the account at all,-1
Google+ link doesn't work,"redmine,redmineID-587,redmine-Viralheat Product - Scrum",bug,unscheduled,03/20/2012 12:52 pm,,Goes to an error.,-1
FAQ Issue ,"redmine,redmineID-586,redmine-Viralheat Product - Scrum",bug,unscheduled,03/19/2012 11:21 am,,Question isn't in question format and link is dead,-1
FAQ page,"redmine,redmineID-585,redmine-Viralheat Product - Scrum",bug,unscheduled,03/19/2012 11:18 am,,"""What is Viralheat?"" question does not go to the right page... also is it supposed to look like that? All black with a small text area?",-1
Photos on Insights page don't match the text,"redmine,redmineID-584,redmine-Viralheat Product - Scrum",bug,unscheduled,03/19/2012 11:03 am,,"",-1
Photos don't seem to match,"redmine,redmineID-583,redmine-Viralheat Product - Scrum",bug,unscheduled,03/19/2012 10:59 am,,The photos for twitter analytics and reports under the Analytics section of features don't seem to match the text.,-1
Features page photos,"redmine,redmineID-582,redmine-Viralheat Product - Scrum",bug,unscheduled,03/19/2012 10:40 am,,"Photos change under the ""social account management"" tabs (one-view, engagement, toggling), but not for any of the other features tabs.",-1
"Added my accounts and when I hit the logo in the top left corner, it goes to my dashboard and my accounts aren’t there anymore!","redmine,redmineID-581,redmine-Viralheat Product - Scrum",bug,unscheduled,03/16/2012 05:41 pm,,"",-1
Same text for Amped Up Analytics section as Fb/Twitter section,"redmine,redmineID-580,redmine-Viralheat Product - Scrum",bug,unscheduled,03/16/2012 05:40 pm,,"",-1
Same text for Amped Up Analytics section as Fb/Twitter section,"redmine,redmineID-579,redmine-Viralheat Product - Scrum",bug,unscheduled,03/16/2012 05:40 pm,,"",-1
All videos go to TOS page,"redmine,redmineID-578,redmine-Viralheat Product - Scrum",bug,unscheduled,03/16/2012 05:40 pm,,"",-1
Goes to wrong page,"redmine,redmineID-577,redmine-Viralheat Product - Scrum",bug,unscheduled,03/16/2012 05:39 pm,,"Setting up initial profile and adding a photo.  When done, I went to go back to finish completing my profile and when I hit the logo in the top left corner it brought me to the main screen without giving me an option to find my account. (see screen shots)!",-1
Favoriting of tweets do NOT work,"redmine,redmineID-576,redmine-Viralheat Product - Scrum",bug,unscheduled,03/16/2012 05:29 pm,,See attached screenshot,-1
Accounts count in left hand nav to use proper count,"redmine,redmineID-575,redmine-Viralheat Product - Scrum",bug,started,03/15/2012 03:55 pm,,Make sure the query is accounting for valid tracked accounts only,0
Detached header shifts when growl notice appears,"redmine,redmineID-574,redmine-Viralheat Product - Scrum",bug,accepted,03/15/2012 03:47 pm,03/15/2012 03:55 pm,The detached header shifts to the left when a growl notice appears.,0
flash[:error] shows both an error and a notice,"redmine,redmineID-573,redmine-Viralheat Product - Scrum",bug,accepted,03/14/2012 04:35 pm,03/14/2012 06:26 pm,"",0
Security audit of FB/Twitter actions to ensure user is owner of the account performing the action,"redmine,redmineID-572,redmine-Viralheat Product - Scrum",bug,unscheduled,03/14/2012 03:57 pm,,"",-1
Publishing box allows publishing even if there is no message.,"redmine,redmineID-570,redmine-Viralheat Product - Scrum",bug,accepted,03/10/2012 07:46 am,03/11/2012 08:38 pm,"When I click Publish I have the 1/140 Chars text (and the memo contains one space). After selecting Twitter, the Publish button is enabled. After clicking Publish I am getting an error rails notification, ""Publish problems (empty character, hover ) Failed message."" The notification item on the history page that relates to this event does not have like the other items from the normal notifications (see NotificationError.png in attachements).
",0
Comments for Facebook Post Report down to the comments,"redmine,redmineID-569,redmine-Viralheat Product - Scrum",bug,accepted,03/10/2012 01:19 am,03/11/2012 09:49 pm,"There is an odd bug here. On this wall, there are 4 likes for the post. But see how the likes go to the comments too?",0
Add platform facebook button,"redmine,redmineID-568,redmine-Viralheat Product - Scrum",bug,unscheduled,03/09/2012 05:25 pm,,"When you click 'add a platform' and esc out of the modal window the button state changes each time. When you are logged into facebook and it tells you to log out but when you esc out, the button disappears when you try to add the fb platform again",-1
Twitter Reply CSS is broken on Profiles section.,"redmine,redmineID-567,redmine-Viralheat Product - Scrum",bug,accepted,03/08/2012 11:54 pm,03/13/2012 12:48 pm,"",0
Retweet with a link in it is broken in History,"redmine,redmineID-566,redmine-Viralheat Product - Scrum",bug,unscheduled,03/08/2012 11:45 pm,,Retweet something from the twitter timeline with a link in it and the history is broken..,-1
Original tweet is not displayed properly after retweeting (with no page load in between),"redmine,redmineID-565,redmine-Viralheat Product - Scrum",bug,accepted,03/07/2012 06:01 pm,03/11/2012 09:05 pm,"",0
Retweet from mentions has a Javascript error,"redmine,redmineID-564,redmine-Viralheat Product - Scrum",bug,accepted,03/07/2012 05:59 pm,03/15/2012 02:06 pm,"",0
Testing of Critical Routes,"redmine,redmineID-563,redmine-Viralheat Product - Scrum",chore,unscheduled,03/06/2012 04:08 pm,,"",-1
Testing of Critical Routes,"redmine,redmineID-562,redmine-Viralheat Product - Scrum",chore,unscheduled,03/06/2012 04:07 pm,,"",-1
Testing of Critical Routes,"redmine,redmineID-561,redmine-Viralheat Product - Scrum",chore,unscheduled,03/06/2012 04:07 pm,,"",-1
Testing of critical routes,"redmine,redmineID-560,redmine-Viralheat Product - Scrum",feature,accepted,03/06/2012 03:37 pm,03/16/2012 10:37 am,"",0
Move JS chunks from .erb to .js files,"redmine,redmineID-559,redmine-Viralheat Product - Scrum",feature,accepted,03/06/2012 03:35 pm,03/21/2012 11:05 am,"",0
Move CSS chunks from .erb to .css files,"redmine,redmineID-558,redmine-Viralheat Product - Scrum",feature,accepted,03/06/2012 03:34 pm,03/21/2012 11:05 am,"",0
Fix github vulnerability: mass assignment,"redmine,redmineID-557,redmine-Viralheat Product - Scrum",feature,unscheduled,03/06/2012 03:32 pm,,"",-1
Designing and Coding the email template for,"redmine,redmineID-556,redmine-Viralheat Product - Scrum",feature,unscheduled,03/06/2012 03:12 pm,,"",-1
Twitter Reply should not go out if no account is selected. The button should be disabled. ,"redmine,redmineID-555,redmine-Viralheat Product - Scrum",bug,accepted,03/06/2012 01:56 pm,03/07/2012 02:13 pm,"",0
"Facebook pages are not coming on or the amount is low, may be because of the new timeline features","redmine,redmineID-554,redmine-Viralheat Product - Scrum",bug,unscheduled,03/06/2012 01:39 pm,,"This may be a bug, but we need to see why the facebook page updates are not coming in",-1
Twitter Authors in Mentions have follower count as zero affecting the total impact score,"redmine,redmineID-553,redmine-Viralheat Product - Scrum",bug,unscheduled,03/06/2012 01:37 pm,,Explore what need to be done to fix this.,-1
Beta Wave 2 (Customer Feedback),"redmine,redmineID-552,redmine-Viralheat Product - Scrum",feature,unscheduled,03/06/2012 01:35 pm,,"- Beta feedback from current users

* Get the list of all the people who have done Beta Tests (Name, Title, Company)
* Share Google Doc for all the beta customers.

Alerts:

Alerts being flexible.
Alert you have lost x number of followers
Not gaining any new followers

** Separating is good (accounts/profiles)

- Email tweets from account sections also - Do everything that they can do in Profiles in the accounts section.
- Influencer graph.

- Mark as leads in accounts
- Mark sentiment in accounts

- Explore making NOT's large in Adding a profile.

** Reporting center.

- More reporting functionality.
- Always compare these reports, email me the report every week.
- Alert in Dashboard, report is ready, PDF or Export to Excel

- HootSuite offers to email the PDf'ed reports.
- Do you want this report emailed.


- Publish bar should stay static, so that the user can publish from anywhere. (floating Nav bar)

- Google analytics integration
- How much traffic are you driving from product pages to website 

- Line colors do not export very well.
- Colors to be different (Tools compare/combine section) - Lighter on top

- Linkedin, G+, Google Analytics.
- Yelp

- YouTube as an account separately. (YouTube Followers and Fans)

- Mobile apps. (HootSuite) - not using HootSuite

- Choose URL Shortener (Choose from bit.ly, j.mp. ow.ly)

- Current pricing model - New model ($500 - 15 profiles)


- Explain grand-fathering to existing customers. Come up with a grand fathering scheme.
- People do not know about the Tools section. (Check what you want to compare and contrast...) right from within the profile.

- 

-- Be more invasive (Tweets are Negative or anything blowing up, send me email right away)
- Do more alerting - Emails, SMS, Notifications.
- Need to know (Need to know something is going)
- Set an Alert that this is a fire.
- Facebook Likes as a daily report.
- 5 top stats at the email.
- Summary emails.
- Setup a time when to be alerted, right away, once a day, once a week, once a month etc..

- Hootsuite, wants in terms of Engagement -
- Growl style notifications (When company accounts gets mentioned)
- Group profiles into clusters. Streams.

- Way too much money for Radian6.

Agencies care more about reporting than engagement.
Reporting center. customizable pieces PDF. Email the report to me at this specified time.


- People signup, Contact us. Have additional fields. Involver, Wildfire, R6, HootSuite Enterprise (Start base at 2k)

- Are they an agency,
- Current tool used.
- Business type, company, industry.

""Tell us a bit more about you"" - $500 Plans.

- 
















",-1
Integrate into YouTube Accounts,"redmine,redmineID-551,redmine-Viralheat Product - Scrum",feature,unscheduled,03/06/2012 01:34 pm,,"Develop connecting Viralheat with Google Properties like YouTube, Google Analytics, Google+

- Connect and store YouTube Accounts.",-1
Change onboarding process to get more details from the user ,"redmine,redmineID-550,redmine-Viralheat Product - Scrum",feature,unscheduled,03/06/2012 01:33 pm,,"1. Like are they an agency
2. What tools they use right now
3. what company are they from.",-1
Make the top Publish bar to float when the user scrolls down to see additional mentions,"redmine,redmineID-549,redmine-Viralheat Product - Scrum",feature,accepted,03/06/2012 01:32 pm,03/13/2012 12:22 pm,"User has to scroll all the way back up to be able to publish something, let see if we can make the top nav bar as floating so user can publish from anywher.",0
The Tipped Tips are not showing up for Mentions on Twitter or Websites when we go to the bottom part of the mentions screens,"redmine,redmineID-548,redmine-Viralheat Product - Scrum",bug,accepted,03/06/2012 01:31 pm,03/08/2012 03:12 pm,"The tipped tips for Twitter authors and website stats details are not working when scrolling to the bottom most part of the mentions sections.

This happens in Profiles - Twitter Mentions, WEbsite Mentions.",0
Add Email a Facebook Update feature to Facebook Accounts timeline,"redmine,redmineID-547,redmine-Viralheat Product - Scrum",feature,accepted,03/06/2012 01:30 pm,03/13/2012 05:10 pm,"Exactly like we have in the mentions section for Facebook pages, we need it for the Account sections as well for the Facebook wall.",0
Add Email a Tweet feature to Twitter Accounts timeline,"redmine,redmineID-546,redmine-Viralheat Product - Scrum",feature,accepted,03/06/2012 01:29 pm,03/13/2012 05:10 pm,"Exactly like we have in the mentions section for Twitter, we need it for the Account sections as well.",0
Add platform does not show proper actions depending on authentication state within Facebook,"redmine,redmineID-545,redmine-Viralheat Product - Scrum",bug,accepted,03/05/2012 01:41 pm,03/05/2012 02:33 pm,The option to connect facebook hangs in a pending state when the user is logged into Facebook. The option to logout of FB from the modal window disappears.,0
Make sure that publishing box only allows to send messages on the pages and accounts that have is_tracked set to 1,"redmine,redmineID-544,redmine-Viralheat Product - Scrum",bug,accepted,03/04/2012 10:20 pm,03/06/2012 02:00 pm,"",0
Update the Server monitoring scripts,"redmine,redmineID-543,redmine-Viralheat Product - Scrum",bug,unscheduled,03/04/2012 10:59 am,,We need to updated all our server monitoring scripts again and make sure they are working with the new infra setup.,-1
